group,domain,form,n_ids,n_domain_cols
full_enrolled,Composite Scores,MoCA-1,35,3
full_enrolled,Composite Scores,MoCA-2,1,3
full_enrolled,Composite Scores,Neuropsychological (CaPRI),135,7
full_enrolled,Composite Scores,PDQ 39,462,18
full_enrolled,Composite Scores,PDQ 8,190,2
full_enrolled,Composite Scores,Parkinson Severity Scale,189,1
full_enrolled,Composite Scores,SCOPA,188,8
full_enrolled,Composite Scores,UPDRS 1.2 part 3,160,7
full_enrolled,Medications,Medication,1782,43
full_enrolled,Mood / Psychiatric,Apathy Scale,186,14
full_enrolled,Mood / Psychiatric,BAI,63,21
full_enrolled,Mood / Psychiatric,BDII,467,21
full_enrolled,Mood / Psychiatric,MBIC,441,51
full_enrolled,Mood / Psychiatric,MBIC (CaPRI),367,51
full_enrolled,Mood / Psychiatric,MDS-UPDRS,1625,4
full_enrolled,Mood / Psychiatric,MDS-UPDRS-1,22,4
full_enrolled,Mood / Psychiatric,Medication,1782,3
full_enrolled,Mood / Psychiatric,PDQ 39,462,16
full_enrolled,Mood / Psychiatric,PDQ 8,190,4
full_enrolled,Mood / Psychiatric,Parkinson Severity Scale,189,12
full_enrolled,Motor,Clinical,1778,18
full_enrolled,Motor,EHI,478,12
full_enrolled,Motor,Epidemiological,2286,1
full_enrolled,Motor,MDS-UPDRS,1625,100
full_enrolled,Motor,MDS-UPDRS-1,22,100
full_enrolled,Motor,Neuropsychological V02,35,6
full_enrolled,Motor,PDQ 39,462,11
full_enrolled,Motor,PDQ 8,190,1
full_enrolled,Motor,Timed Up Go,190,5
full_enrolled,Motor,UPDRS 1.2 part 3,160,27
full_enrolled,Non-Motor,Epidemiological,2286,10
full_enrolled,Non-Motor,Fatigue Severity Scale,185,9
full_enrolled,Non-Motor,MDS-UPDRS,1625,15
full_enrolled,Non-Motor,MDS-UPDRS-1,22,15
full_enrolled,Non-Motor,PDQ 39,462,4
full_enrolled,Non-Motor,PDQ 8,190,1
enrolled_and_partial,Activities of Daily Living,Clinical,1949,1
enrolled_and_partial,Activities of Daily Living,PDQ 39,535,6
enrolled_and_partial,Activities of Daily Living,PDQ 8,190,1
enrolled_and_partial,Activities of Daily Living,Schwab & England,185,1
enrolled_and_partial,Admin,Apathy Scale,186,2
enrolled_and_partial,Admin,BAI,63,2
enrolled_and_partial,Admin,Clinical,1949,16
enrolled_and_partial,Admin,Demographic,2173,46
enrolled_and_partial,Admin,EHI,478,2
enrolled_and_partial,Admin,Enrollement,2107,37
enrolled_and_partial,Admin,Epidemiological,2896,43
enrolled_and_partial,Admin,Fatigue Severity Scale,185,2
enrolled_and_partial,Admin,MBIC,441,3
enrolled_and_partial,Admin,MBIC (CaPRI),367,3
enrolled_and_partial,Admin,MDS-UPDRS,1679,4
enrolled_and_partial,Admin,MDS-UPDRS-1,27,4
enrolled_and_partial,Admin,Medication,1945,4
enrolled_and_partial,Admin,MoCA,1946,11
enrolled_and_partial,Admin,MoCA-1,50,11
enrolled_and_partial,Admin,MoCA-2,1,11
enrolled_and_partial,Admin,Neuropsychological,466,3
enrolled_and_partial,Admin,Neuropsychological (CaPRI),135,3
enrolled_and_partial,Admin,Neuropsychological V02,36,7
enrolled_and_partial,Admin,PDQ 39,535,2
enrolled_and_partial,Admin,PDQ 8,190,2
enrolled_and_partial,Admin,Parkinson Severity Scale,189,2
enrolled_and_partial,Admin,SCOPA,188,4
enrolled_and_partial,Admin,Schwab & England,185,3
enrolled_and_partial,Admin,Timed Up Go,204,2
enrolled_and_partial,Admin,UPDRS 1.2 part 3,183,2
enrolled_and_partial,Autonomic Functioning,Epidemiological,2896,3
enrolled_and_partial,Autonomic Functioning,SCOPA,188,35
enrolled_and_partial,Behaviour,MBIC,441,17
enrolled_and_partial,Behaviour,MBIC (CaPRI),367,17
enrolled_and_partial,Clinical History / Diagnosis,Clinical,1949,30
enrolled_and_partial,Clinical History / Diagnosis,Epidemiological,2896,33
enrolled_and_partial,Cognitive Function,Clinical,1949,5
enrolled_and_partial,Cognitive Function,Epidemiological,2896,4
enrolled_and_partial,Cognitive Function,MDS-UPDRS,1679,2
enrolled_and_partial,Cognitive Function,MDS-UPDRS-1,27,2
enrolled_and_partial,Cognitive Function,MoCA,1946,8
enrolled_and_partial,Cognitive Function,MoCA-1,50,8
enrolled_and_partial,Cognitive Function,MoCA-2,1,8
enrolled_and_partial,Cognitive Function,Neuropsychological,466,44
enrolled_and_partial,Cognitive Function,Neuropsychological (CaPRI),135,91
enrolled_and_partial,Cognitive Function,Neuropsychological V02,36,97
enrolled_and_partial,Cognitive Function,PDQ 39,535,2
enrolled_and_partial,Cognitive Function,PDQ 8,190,1
enrolled_and_partial,Composite Scores,Apathy Scale,186,1
enrolled_and_partial,Composite Scores,BAI,63,2
enrolled_and_partial,Composite Scores,BDII,467,2
enrolled_and_partial,Composite Scores,EHI,478,4
enrolled_and_partial,Composite Scores,Fatigue Severity Scale,185,2
enrolled_and_partial,Composite Scores,MBIC,441,6
enrolled_and_partial,Composite Scores,MBIC (CaPRI),367,6
enrolled_and_partial,Composite Scores,MDS-UPDRS,1679,4
enrolled_and_partial,Composite Scores,MDS-UPDRS-1,27,4
enrolled_and_partial,Composite Scores,MoCA,1946,3
enrolled_and_partial,Composite Scores,MoCA-1,50,3
enrolled_and_partial,Composite Scores,MoCA-2,1,3
enrolled_and_partial,Composite Scores,Neuropsychological (CaPRI),135,7
enrolled_and_partial,Composite Scores,PDQ 39,535,18
enrolled_and_partial,Composite Scores,PDQ 8,190,2
enrolled_and_partial,Composite Scores,Parkinson Severity Scale,189,1
enrolled_and_partial,Composite Scores,SCOPA,188,8
enrolled_and_partial,Composite Scores,UPDRS 1.2 part 3,183,7
enrolled_and_partial,Medications,Medication,1945,43
enrolled_and_partial,Mood / Psychiatric,Apathy Scale,186,14
enrolled_and_partial,Mood / Psychiatric,BAI,63,21
enrolled_and_partial,Mood / Psychiatric,BDII,467,21
enrolled_and_partial,Mood / Psychiatric,MBIC,441,51
enrolled_and_partial,Mood / Psychiatric,MBIC (CaPRI),367,51
enrolled_and_partial,Mood / Psychiatric,MDS-UPDRS,1679,4
enrolled_and_partial,Mood / Psychiatric,MDS-UPDRS-1,27,4
enrolled_and_partial,Mood / Psychiatric,Medication,1945,3
enrolled_and_partial,Mood / Psychiatric,PDQ 39,535,16
enrolled_and_partial,Mood / Psychiatric,PDQ 8,190,4
enrolled_and_partial,Mood / Psychiatric,Parkinson Severity Scale,189,12
enrolled_and_partial,Motor,Clinical,1949,18
enrolled_and_partial,Motor,EHI,478,12
enrolled_and_partial,Motor,Epidemiological,2896,1
enrolled_and_partial,Motor,MDS-UPDRS,1679,100
enrolled_and_partial,Motor,MDS-UPDRS-1,27,100
enrolled_and_partial,Motor,Neuropsychological V02,36,6
enrolled_and_partial,Motor,PDQ 39,535,11
enrolled_and_partial,Motor,PDQ 8,190,1
enrolled_and_partial,Motor,Timed Up Go,204,5
enrolled_and_partial,Motor,UPDRS 1.2 part 3,183,27
enrolled_and_partial,Non-Motor,Epidemiological,2896,10
enrolled_and_partial,Non-Motor,Fatigue Severity Scale,185,9
enrolled_and_partial,Non-Motor,MDS-UPDRS,1679,15
enrolled_and_partial,Non-Motor,MDS-UPDRS-1,27,15
enrolled_and_partial,Non-Motor,PDQ 39,535,4
enrolled_and_partial,Non-Motor,PDQ 8,190,1
